year;aircraft_departures;total_aircraft_distance;passengers;rpk;ask;load_factor;freight_tonnes;rtk
1980;10691000.0;9350000000.0;748000000.0;1089128000000.0;1723903000000.0;63.2;11100000.0;33057000000.0
1981;10250000.0;9113000000.0;752000000.0;1119066000000.0;1756539000000.0;63.7;10900000.0;34675000000.0
1982;10379000.0;9140000000.0;766000000.0;1142193000000.0;1794646000000.0;63.6;11600000.0;35413000000.0
1983;10820000.0;9395000000.0;798000000.0;1189767000000.0;1852088000000.0;64.2;12300000.0;39112000000.0
1984;11453000.0;10102000000.0;848000000.0;1278176000000.0;1972296000000.0;64.8;13400000.0;43978000000.0
1985;11952000.0;10598000000.0;899000000.0;1367347000000.0;2081018000000.0;65.7;13700000.0;44236000000.0
1986;12698000.0;11491000000.0;960000000.0;1452055000000.0;2234730000000.0;65.0;14700000.0;47735000000.0
1987;13306000.0;12266000000.0;1028000000.0;1589467000000.0;2367532000000.0;67.1;16100000.000000002;53021000000.0
1988;13942000.0;13017000000.0;1082000000.0;1705432000000.0;2524094000000.0;67.6;17200000.0;58099000000.0
1989;13945000.0;13493000000.0;1109000000.0;1773703000000.0;2608046000000.0;68.0;18100000.0;62202000000.0
1990;14661000.0;14371000000.0;1165000000.0;1894245000000.0;2800844000000.0;67.6;18400000.0;64121000000.0
1991;14269000.0;14262000000.0;1135000000.0;1845418000000.0;2779494000000.0;66.4;17500000.0;63630000000.0
1992;14819000.0;15690000000.0;1146000000.0;1928922000000.0;2930185000000.0;65.8;17600000.0;67761000000.0
1993;15777000.0;17118000000.0;1142000000.0;1949421000000.0;3013411000000.0;64.7;18100000.0;73671000000.0
1994;17038000.0;18249000000.0;1233000000.0;2099936000000.0;3169342000000.0;66.3;20500000.0;82626000000.0
1995;17816000.0;19470000000.0;1304000000.0;2248215000000.0;3358601000000.0;66.9;22200000.0;88765000000.0
1996;18758000.0;20601000000.0;1391000000.0;2431695000000.0;3563774000000.0;68.2;23200000.0;94996000000.0
1997;19320000.0;21630000000.0;1457000000.0;2573010000000.0;3727900000000.0;69.0;26400000.0;108870000000.0
1998;19686000.0;22438000000.0;1471000000.0;2628116000000.0;3837725000000.0;68.5;26500000.0;107575000000.0
1999;20739000.0;23742000000.0;1562000000.0;2797803000000.0;4050783000000.0;69.1;28100000.0;114373000000.0
2000;24143000.0;25982000000.0;1774000000.0;3201366000000.0;4504515000000.0;71.1;29600000.0;133572000000.0
2001;24234000.0;26157000000.0;1741000000.0;3108527000000.0;4489445000000.0;69.2;28100000.0;124942000000.0
2002;23095000.0;25507000000.0;1739000000.0;3124069000000.0;4379359000000.0;71.3;30600000.0;134059000000.0
2003;23817000.0;26560000000.0;1795000000.0;3180302000000.0;4443204000000.0;71.6;32600000.0;140373000000.0
2004;26781000.0;30122000000.0;2003000000.0;3628725000000.0;4944363000000.0;73.4;35800000.0;154838000000.0
2005;28077000.0;31857000000.0;2145000000.0;3919023000000.0;5229355000000.0;74.9;36700000.0;158674000000.0
2006;28776000.0;33179000000.0;2263000000.0;4170556000000.0;5500959000000.0;75.8;39000000.0;169365000000.0
2007;29869000.0;34935000000.0;2462000000.0;4513096000000.0;5876065000000.0;76.8;41400000.0;177261000000.0
2008;29989000.0;35769000000.0;2500000000.0;4608466000000.0;6062667000000.0;76.0;39900000.0;176052000000.0
2009;29372000.0;34894000000.0;2488000000.0;4561413000000.0;5948503000000.0;76.7;40000000.0;160439000000.0
2010;30754000.0;38395000000.0;2708000000.0;4930250000000.0;6307072000000.0;78.2;48000000.0;193101000000.0
2011;31768000.0;40471000000.0;2883000000.0;5263525000000.0;6747537000000.0;78.0;49300000.0;195603000000.0
2012;32193000.0;41485000000.0;3016000000.0;5545088000000.0;7031359000000.0;78.9;48600000.0;193799000000.0
2013;32583000.0;42772000000.0;3146000000.0;5837777000000.0;7344775000000.0;79.5;50300000.0;199676000000.0
2014;33273000.0;44494000000.0;3327000000.0;6190282000000.0;7765176000000.0;79.7;51200000.0;204305000000.0
2015;34193000.0;46739000000.0;3567000000.0;6654454000000.0;8293327000000.0;80.2;51500000.0;207319000000.0
2016;35515000.0;49240000000.0;3806000000.0;7148283000000.0;8901086000000.0;80.3;53400000.0;214638000000.0
2017;36543000.0;51832000000.0;4075000000.0;7718470000000.0;9473126000000.0;81.5;57200000.0;234560000000.0
2018;37823000.0;54279000000.0;4341000000.0;8280851000000.0;10147668000000.0;81.6;58000000.0;235695000000.0
2019;38299000.0;56199000000.0;4490000000.0;8664032000000.0;10516737000000.0;82.4;58000000.0;231070000000.0
2020;20290000.0;28013000000.0;1781000000.0;2950654000000.0;4540414000000.0;65.0;49500000.0;197631000000.0
2021;24189000.0;33705000000.0;2279000000.0;3621985000000.0;5355569000000.0;67.6;57400000.0;236884000000.0
2022;29797000.0;42801000000.0;3273000000.0;5947702000000.0;7568363000000.0;78.6;54100000.0;222034000000.0
2023;35302000.0;53873000000.0;4325000000.0;8226592000000.0;10018223000000.0;82.1;56100000.0;222982000000.0
2024;37424000.0;58725000000.0;4669000000.0;9097611000000.0;10933133000000.0;83.2;60800000.0;247572000000.0
