Year;Reference;Electric;Electric - Low;Electric - High;Hybrid-Electric;Hybrid-Electric - Low;Hybrid-Electric - High;Hydrogen;Hydrogen - Low;Hydrogen - High;Mix
2042;1298.084919;1293.50923818248;1126.7544270565;1298.08491881973;1084.28244171445;1084.28244171445;1084.28244171445;1189.16907983716;1125.19532193833;1298.08491881973;1084.28244171445
2043;1308.456289;1301.79048362056;1116.36726789995;1308.45628890924;1084.11291452232;1084.11291452232;1084.11291452232;1163.0616598065;1077.63150590854;1308.45628890924;1084.11291452232
2044;1316.199992;1306.59602467473;1107.10887731615;1316.19999171394;1081.8804530572;1081.8804530572;1081.8804530572;1128.75740944086;1018.57446296065;1316.19999171394;1081.8804530572
2045;1322.417403;1308.76685383187;1100.01416908773;1322.11108823662;1074.07788811661;1074.07788811661;1074.07788811661;1089.69387772449;952.828775429044;1319.11591106158;1074.07788811661
2046;1328.862681;1309.77881846215;1096.17638018905;1328.41344573969;1066.82113248903;1066.82113248903;1066.82113248903;1050.57044523218;886.824783353183;1324.02311524301;1066.82113248903
2047;1337.494969;1311.34786825779;1096.62455468199;1336.83789487821;1058.07864087855;1058.07864087855;1058.07864087855;1016.02778136691;826.786278357859;1330.41969610897;1058.07864087855
2048;1349.936613;1314.97854896522;1102.07671679059;1348.97870176642;1048.66197855947;1048.66197855947;1048.66197855947;989.421917223649;777.099891532802;1339.62634622394;1048.66197855947
2049;1367.133332;1321.73027246976;1112.7751523672;1365.74409264772;1039.46348690577;1039.46348690577;1039.46348690577;972.31230254429;739.697476888079;1352.18592000398;1039.46348690577
2050;1389.331321;1332.25601302517;1128.50793746967;1387.33374397026;1031.25033251819;1031.25033251819;1031.25033251819;964.69532311297;714.436912912377;1367.84468602421;1031.25033251819
2051;1416.276356;1346.95148057757;1148.76741274491;1413.44202654111;1024.50549894097;1024.50549894097;1024.50549894097;965.60014298506;699.9301596207;1385.79594045119;1024.50549894097
2052;1447.448525;1366.02404311673;1172.91967312941;1443.50287293005;1019.35807017341;1019.35807017341;1019.35807017341;973.653192341953;694.302421072609;1405.02366287306;1019.35807017341
2053;1482.273478;1389.50367888667;1200.35245879229;1476.91758769102;1015.64609839448;1015.64609839448;1015.64609839448;987.473849867451;695.697657641934;1424.69175825889;1015.64609839448
2054;1520.224439;1417.21972816115;1230.53825430305;1513.17563106162;1013.03775738722;1013.03775738722;1013.03775738722;1005.8589447789;702.512792029529;1444.44779854096;1013.03775738722
2055;1560.871267;1448.83995871421;1263.05956921914;1551.91417649145;1011.19295038039;1011.19295038039;1011.19295038039;1027.84553074595;713.469300972718;1464.58497855264;1011.19295038039
2056;1603.887635;1483.94794737098;1297.60465098632;1592.91654612198;1009.90721933933;1009.90721933933;1009.90721933933;1052.70288123957;727.596643866094;1485.95529348443;1009.90721933933
2057;1649.039277;1522.12144554417;1333.95106524203;1636.07191021975;1009.19967035596;1009.19967035596;1009.19967035596;1079.8962663895;744.181777519329;1509.65109749697;1009.19967035596
2058;1696.165852;1562.9852508072;1371.94634859546;1681.32311836976;1009.31948208678;1009.31948208678;1009.31948208678;1109.04464774168;762.712629328441;1536.6211077289;1009.31948208678
2059;1745.163374;1606.23508621171;1411.49060727197;1728.62764100898;1010.67235638962;1010.67235638962;1010.67235638962;1139.8825335886;782.827805208051;1567.42195090658;1010.67235638962
2060;1795.970487;1651.64141471752;1452.52325378357;1777.94198612245;1013.70018539303;1013.70018539303;1013.70018539303;1172.22972667242;804.276545651969;1602.18433121425;1013.70018539303
2061;1848.558827;1699.04286998821;1495.01372061812;1829.22376152799;1018.76459001912;1018.76459001912;1018.76459001912;1205.96885323108;826.888648592962;1640.72916184434;1018.76459001912
2062;1902.925669;1748.33517294204;1538.95448677504;1882.43945260685;1026.07517482882;1026.07517482882;1026.07517482882;1241.02864157266;850.552189647798;1682.72285711378;1026.07517482882
2063;1959.087543;1799.45884103217;1584.35521380144;1937.57001351982;1035.67515032752;1035.67515032752;1035.67515032752;1277.37114436139;875.196941169327;1727.79958212948;1035.67515032752
2064;2017.074912;1852.38796731661;1631.23794653191;1994.612565249;1047.47081227534;1047.47081227534;1047.47081227534;1314.98210914462;900.78218529627;1775.6314517631;1047.47081227534
2065;2076.928242;1907.12125147011;1679.63359584211;2053.57948335229;1061.28055868287;1061.28055868287;1061.28055868287;1353.86405642071;927.28801137215;1825.95702834101;1061.28055868287
2066;2138.69538;1963.67538142145;1729.57958518599;2114.49636558464;1076.88290271327;1076.88290271327;1076.88290271327;1394.03149957591;954.709249628571;1878.58500013965;1076.88290271327
2067;2202.429895;2022.08032904168;1781.11833759788;2177.39978541083;1094.05274556599;1094.05274556599;1094.05274556599;1435.50769899361;983.051286529277;1933.38629261985;1094.05274556599
2068;2268.19001;2082.37605149895;1834.29630503623;2242.33525773889;1112.58368323917;1112.58368323917;1112.58368323917;1478.32245900363;1012.32718121202;1990.28252403849;1112.58368323917
2069;2336.037929;2144.61019003559;1889.16333903783;2309.35557017278;1132.29873011037;1132.29873011037;1132.29873011037;1522.51062626931;1042.555675148;2049.23469350869;1132.29873011037
2070;2406.039396;2208.83647213171;1945.77228109897;2378.51949587508;1153.05318987587;1153.05318987587;1153.05318987587;1568.11106446487;1073.759817579;2110.23361309526;1153.05318987587
