"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND 2.1","TechCost-SSP2-B1100-bioH","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"AIM/CGE 2.2","EN_INDCi2030_1800f","World","Population","million","","",6892.0598,7298.8706,7663.0414,"","","","",8000.9169,8306.4889,8580.1663,8820.2675,9024.0564,9187.3955,9307.6237,9386.2108,9428.6015,9439.9757,9421.4786,9374.2907,9301.4783,9208.3801,9099.5922,8978.2168
"MESSAGEix-GLOBIOM_1.2","COV_Restore_1000","World","Population","million",6119.41999053955,6503.12993621826,6867.39003753662,7239.32,7611.25,7676.324,7741.398,7806.472,7871.546,7936.62,8261.99,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.42
"IMAGE 3.0.2","EMF33_WB2C_nofuel","World","Population","million",6133.833984375,6530.5478515625,6921.7978515625,"",7671.501953125,"","","","","",8327.6826171875,"",8857.17578125,"",9242.54296875,"",9459.9677734375,"",9531.0947265625,"",9480.2275390625,"",9325.70703125,"",9103.234375
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2100_NDCp","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"AIM/CGE 2.2","EN_INDCi2030_900f","World","Population","million","","",6892.0598,7298.8706,7663.0414,"","","","",8000.9169,8306.4889,8580.1663,8820.2675,9024.0564,9187.3955,9307.6237,9386.2108,9428.6015,9439.9757,9421.4786,9374.2907,9301.4783,9208.3801,9099.5922,8978.2168
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1800f_COV","World","Population","million",6119.419990539551,6503.129936218262,6867.390037536621,7239.32,7611.249999999999,"","","","",7936.62,8261.990000000002,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.420000000002
"POLES ENGAGE","EN_NPi2020_3000","World","Population","million","",6542.7353515625,6958.6884765625,7382.5888671875,7785.72216796875,"","","","",8153.58984375,8485.6982421875,8781.416015625,9043.203125,9269.3798828125,9455.8505859375,"",9700.2314453125,"",9801.9853515625,"",9787.3662109375,"",9673.314453125,"",9475.2802734375
"GEM-E3_V2021","EN_INDCi2030_1000_COV","World","Population","million","","","",7378.539257000012,7795.136232000012,"","","","",8188.233699000013,8555.261709000017,8897.475219000013,9238.143921000015,9498.946466000016,9755.900937000024,9982.667519000022,10179.86546700002,10350.31374000002,10495.81078500002,10617.97046401325,10718.53389378218,10799.03546433675,10861.87495100884,10907.46879944686,10934.71123463055
"WITCH 5.0","CO_Bridge","World","Population","million","",6463.9475088,6871.7587843,7285.2946684,7656.41774181351,"","","","",8002.26946105458,8316.78575344888,8600.40174168149,8851.47686976821,9066.98915714286,9242.45353676836,9374.81410587082,9465.55399705011,9520.55853758438,9543.73458085693,9535.98602463836,9498.50527128297,9434.08825801917,9348.03151141738,9244.90202318367,9127.93788440236
"AIM/CGE 2.2","EN_NPi2020_1600f","World","Population","million","","",6892.0598,7298.8706,7663.0414,"","","","",8000.9169,8306.4889,8580.1663,8820.2675,9024.0564,9187.3955,9307.6237,9386.2108,9428.6015,9439.9757,9421.4786,9374.2907,9301.4783,9208.3801,9099.5922,8978.2168
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"IMAGE 3.0","EN_NPi2020_1400f","World","Population","million","",6530.5478515625,6921.7978515625,7302.09423828125,7671.501953125,"","","","",8015.39892578125,8327.6826171875,8608.79296875,8857.17578125,9069.8994140625,9242.54296875,"",9459.9677734375,"",9531.0947265625,"",9480.2275390625,"",9325.70703125,"",9103.234375
"IMAGE 3.0.1","CD-LINKS_NPi2020_1600","World","Population","million","",6530.5478515625,6921.7978515625,7302.09423828125,7671.501953125,"","","","",8015.39892578125,8327.6826171875,8608.79296875,8857.17578125,9069.8994140625,9242.54296875,"",9459.9677734375,"",9531.0947265625,"",9480.2275390625,"",9325.70703125,"",9103.234375
"REMIND 2.1","TechCost-SSP2-B1100-oilH","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"WITCH 5.0","EN_INDCi2030_1000","World","Population","million","","",6871.7587843,7285.2946684,7656.417741813508,"","","","",8002.269461054593,8316.785753448881,8600.401741681491,8851.476869768214,9066.989157142852,9242.453536768357,9374.81410587082,9465.553997050103,9520.558537584371,9543.734580856935,9535.986024638356,9498.505271282973,9434.088258019165,9348.031511417385,9244.90202318367,9127.937884402358
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1400f_COV","World","Population","million",6119.419990539551,6503.129936218262,6867.390037536621,7239.32,7611.249999999999,"","","","",7936.62,8261.990000000002,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.420000000002
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Population","million","",6541.35,6957.32,7382.13,7794.57,"","","","",8184.67,8550.23,8891.71,9209.32,9503.18,9770.79,10010.1,10221.6,10408.8,10574.8,10721,10847.7,10956.6,11049.1,11125.1,11183.4
"WITCH 5.0","EN_INDCi2030_2500f_NDCp","World","Population","million","","",6871.7587843,7285.2946684,7656.417741813508,"","","","",8002.269461054593,8316.785753448881,8600.401741681491,8851.476869768214,9066.989157142852,9242.453536768357,9374.81410587082,9465.553997050103,9520.558537584371,9543.734580856935,9535.986024638356,9498.505271282973,9434.088258019165,9348.031511417385,9244.90202318367,9127.937884402358
"WITCH 5.0","EN_NPi2020_600","World","Population","million","","",6871.7587843,7285.2946684,7656.417741813508,"","","","",8002.269461054593,8316.785753448881,8600.401741681491,8851.476869768214,9066.989157142852,9242.453536768357,9374.81410587082,9465.553997050103,9520.558537584371,9543.734580856935,9535.986024638356,9498.505271282973,9434.088258019165,9348.031511417385,9244.90202318367,9127.937884402358
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_600f_NDCp","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"POLES ENGAGE","EN_INDCi2100_COV_NDCp","World","Population","million","",6543.466796875,6959.408203125,7383.29296875,7785.3359375,"","","","",8153.5029296875,8484.0634765625,8777.7841796875,9037.8447265625,9262.80078125,9448.71484375,"",9698.4892578125,"",9805.361328125,"",9795.0849609375,"",9684.958984375,"",9490.8193359375
"WITCH 5.0","EN_NPi2020_2500","World","Population","million","","",6871.7587843,7285.2946684,7656.417741813508,"","","","",8002.269461054593,8316.785753448881,8600.401741681491,8851.476869768214,9066.989157142852,9242.453536768357,9374.81410587082,9465.553997050103,9520.558537584371,9543.734580856935,9535.986024638356,9498.505271282973,9434.088258019165,9348.031511417385,9244.90202318367,9127.937884402358
"WITCH 5.0","EN_NPi2020_2000f","World","Population","million","","",6871.7587843,7285.2946684,7656.417741813508,"","","","",8002.269461054593,8316.785753448881,8600.401741681491,8851.476869768214,9066.989157142852,9242.453536768357,9374.81410587082,9465.553997050103,9520.558537584371,9543.734580856935,9535.986024638356,9498.505271282973,9434.088258019165,9348.031511417385,9244.90202318367,9127.937884402358
"REMIND 2.1","TechCost-SSP2-B1100-coalH","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"GCAM 5.3","R_MAC_99_n0","World","Population","million","",6534.314,6947.252,7369.295,7739.743,"","","","",8084.34,8396.881,8677.608,8924.749,9135.444,9305.449,9431.933,9516.32,9563.891,9579.816,9565.127,9521.116,9450.775,9359.357,9251.425,9130.189
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_3000_NDCp","World","Population","million",6119.419990539551,6503.129936218262,6867.390037536621,7239.32,7611.249999999999,"","","","",7936.62,8261.990000000002,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.420000000002
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_2500f","World","Population","million",6119.419990539551,6503.129936218262,6867.390037536621,7239.32,7611.249999999999,"","","","",7936.62,8261.990000000002,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.420000000002
"GCAM 5.3","R_MAC_35_n0","World","Population","million","",6534.314,6947.252,7369.295,7739.743,"","","","",8084.34,8396.881,8677.608,8924.749,9135.444,9305.449,9431.933,9516.32,9563.891,9579.816,9565.127,9521.116,9450.775,9359.357,9251.425,9130.189
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_800","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_1400f_COV","World","Population","million",6119.419990539551,6503.129936218262,6867.390037536621,7239.32,7611.249999999999,"","","","",7936.62,8261.990000000002,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.420000000002
"WITCH 5.0","EN_NPi2020_3000","World","Population","million","","",6871.7587843,7285.2946684,7656.417741813508,"","","","",8002.269461054593,8316.785753448881,8600.401741681491,8851.476869768214,9066.989157142852,9242.453536768357,9374.81410587082,9465.553997050103,9520.558537584371,9543.734580856935,9535.986024638356,9498.505271282973,9434.088258019165,9348.031511417385,9244.90202318367,9127.937884402358
"MESSAGE-GLOBIOM 1.0","EMF30_Slower-to-faster","World","Population","million","",6503.13,6867.39,"",7611.25,"","","","","",8261.99,"",8787.12,"",9169.11,"",9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.42
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB450","World","Population","million",6119.41999053955,6503.12993621826,6867.39003753662,"",7611.25,"","","","","",8261.99,"",8787.12,"",9169.11,"",9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.42
"POLES ENGAGE","EN_NPi2020_500","World","Population","million","",6542.7353515625,6958.6884765625,7382.5888671875,7785.72216796875,"","","","",8153.58984375,8485.6982421875,8781.416015625,9043.203125,9269.3798828125,9455.8505859375,"",9700.2314453125,"",9801.9853515625,"",9787.3662109375,"",9673.314453125,"",9475.2802734375
"GEM-E3_V2021","EN_INDCi2030_1000_COV_NDCp","World","Population","million","","","",7378.539257000012,7795.136232000012,"","","","",8188.233699000013,8555.261709000017,8897.475219000013,9238.143921000015,9498.946466000016,9755.900937000024,9982.667519000022,10179.86546700002,10350.31374000002,10495.81078500002,10617.97046401325,10718.53389378218,10799.03546433675,10861.87495100884,10907.46879944686,10934.71123463055
"POLES ENGAGE","EN_NPi2020_1200f","World","Population","million","",6542.7353515625,6958.6884765625,7382.5888671875,7785.72216796875,"","","","",8153.58984375,8485.6982421875,8781.416015625,9043.203125,9269.3798828125,9455.8505859375,"",9700.2314453125,"",9801.9853515625,"",9787.3662109375,"",9673.314453125,"",9475.2802734375
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_NDC","World","Population","million","",6465.587,6858.4392,7248.0137,7637.5883,"","","","",7978.374,8287.574,8565.394,8809.966999999999,9018.426,9186.561,9311.674,9395.123,"",9457.945,"",9399.87,"",9239.529,"",9012.212
"POLES EMF33","EMF33_tax_hi_full","World","Population","million",6127.69921875,6514.09619140625,6916.18310546875,"",7611.72021484375,"","","","","",8261.5732421875,"",8784.689453125,"",9162.884765625,"",9373.4853515625,"",9438.1474609375,"",9381.642578125,"",9222.6572265625,"",8996.4921875
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR1p","World","Population","million",6119.419990539551,6503.129936218262,6867.390037536621,7239.32,7611.249999999999,"","","","",7936.62,8261.990000000002,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.420000000002
"IMAGE 3.0","EN_INDCi2030_1200","World","Population","million","",6530.5478515625,6921.7978515625,7302.09423828125,7671.501953125,"","","","",8015.39892578125,8327.6826171875,8608.79296875,8857.17578125,9069.8994140625,9242.54296875,"",9459.9677734375,"",9531.0947265625,"",9480.2275390625,"",9325.70703125,"",9103.234375
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1400","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"IMAGE 3.2","SSP2_SPA2_45I_RE","World","Population","million","",6541.73681640625,6957.7060546875,7382.4990234375,7756.7080078125,"","","","",8105.07421875,8421.4912109375,8706.3720703125,8958.1103515625,9173.7060546875,9348.6796875,9480.0478515625,9569.134765625,9621.3115234375,9641.6494140625,9631.0654296875,9590.7734375,9523.6240234375,9435.03125,9329.603515625,9210.525390625
"POLES ENGAGE","EN_INDCi2030_1000_NDCp","World","Population","million","",6542.7353515625,6958.6884765625,7382.5888671875,7785.72216796875,"","","","",8153.58984375,8485.6982421875,8781.416015625,9043.203125,9269.3798828125,9455.8505859375,"",9700.2314453125,"",9801.9853515625,"",9787.3662109375,"",9673.314453125,"",9475.2802734375
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1000f_NDCp","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"REMIND 2.1","LeastTotalCost_CEA_brkLR15_SSP2_P50","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1200f_COV_NDCp","World","Population","million",6119.419990539551,6503.129936218262,6867.390037536621,7239.32,7611.249999999999,"","","","",7936.62,8261.990000000002,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.420000000002
"REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_nobeccs","World","Population","million","",6465.587,6858.439100000001,7248.0137,7637.5883,"","","","",7978.373799999999,8287.574500000002,8565.3945,8809.967099999998,9018.4263,9186.5608,9311.6739,9395.1231,"",9457.9449,"",9399.8697,"",9239.5293,"",9012.2114
"REMIND-MAgPIE 1.5","SSP1-34","World","Population","million","",6505,6894,"",7543,"","","","","",8024,"",8345,"",8481,"",8436,"",8238,"",7903,"",7445,"",6892
