"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.2","EN_INDCi2030_1600","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4298.8319,4581.0348,4816.4848,5018.3595,5203.6222,5385.5934,5559.577,5745.4935,5932.2038,6104.624,6270.5546,6428.1618,6578.9749
"IMAGE 3.0","EN_NPi2020_1200f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.726987838745,4483.41178894043,5456.007957458496,6689.321994781494,7790.792942047119,8849.46060180664,10330.61981201172,11982.08999633789,"",14301.34010314941,"",15629.52995300293,"",16815.9008026123,"",18801.63955688477,"",20666.54014587402
"IMAGE 3.0","EN_INDCi2030_3000f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.648921966553,6742.098808288574,8385.491371154785,10094.2497253418,11805.02986907959,13433.95042419434,"",16397.68028259277,"",18908.6799621582,"",21657.93037414551,"",24853.90090942383,"",27900.36964416504
"REMIND-Transport 2.1","Transport_Budg1100_Conv-LowD","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5169.3046,5514.7725,7347.2161,12284.7698,14460.7715,15437.825,15510.2443,14239.5333,12785.3897,12113.5392,11341.6226,10780.3171,"",10000.2396,"",9315.7754,"",8413.5266,"",7271.1222
"AIM/CGE 2.2","EN_NPi2020_300f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3321.3459,3583.528,3864.8961,4193.1835,4481.7858,4703.0704,4916.5694,5133.4251,5357.2144,5554.3926,5744.4711,5933.7727,6108.6631,6277.8247,6438.8845,6590.1649
"IMAGE 3.2","SSP2_SPA2_45I_LI","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.541902542114,5859.077930450439,2529.567956924438,7297.403812408447,7500.379085540771,7450.450897216797,7051.311016082764,7011.313915252686,7148.318767547607,7096.447944641113,7024.425029754639,7109.91382598877,7371.679782867432,7733.395099639893,8127.766609191895,8512.298583984375,8868.719100952148,9181.54525756836,9424.906730651855
"IMAGE 3.2","SSP1_SPA1_19I_LIRE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.541902542114,5859.077930450439,2529.568910598755,7360.849857330322,7657.141208648682,7658.570766448975,7124.894142150879,6610.218048095703,6577.554225921631,7210.370063781738,8231.178283691406,9422.307014465332,10335.43968200684,10685.37998199463,10671.33045196533,10483.59966278076,10212.01038360596,9919.960975646973,9570.223808288574
"IMAGE 3.2","SSP1_SPA1_26I_LI","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.51400756836,5859.074115753174,2529.58607673645,7141.16382598877,7415.661811828613,7477.189064025879,7332.122802734375,7513.040065765381,7978.065013885498,8399.495124816895,8828.117370605469,9305.788040161133,9792.959213256836,10213.00029754639,10490.13042449951,10563.89999389648,10420.70007324219,10073.59027862549,9570.409774780272
"IMAGE 3.2","SSP2_SPA1_19I_RE_LB","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.545001983643,5859.115123748779,2529.580116271973,7730.9250831604,8537.919998168945,9109.603881835938,8985.947608947754,8576.265335083008,8486.664772033691,8980.478286743164,9979.402542114258,11317.77954101562,12795.12977600098,14107.64980316162,15102.27012634277,15837.24975585938,16396.36039733887,16824.64027404785,17131.91986083984
"AIM/CGE 2.2","EN_NPi2020_400f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3321.3459,3588.2737,3891.3972,4224.3334,4504.9164,4716.9981,4918.5432,5132.7678,5355.7461,5559.8514,5744.1174,5933.4426,6109.2798,6279.226,6439.0298,6590.4947
