year,observed,freeze-all|klower|splice2019,freeze-all|klower|splice2000,freeze-all|klower|splice2019|rescaled,freeze-all|endpoint|splice2019,freeze-all|endpoint|splice2000,freeze-all|endpoint|splice2019|rescaled,fuel-side|klower|splice2019,fuel-side|klower|splice2000,fuel-side|klower|splice2019|rescaled,fuel-side|endpoint|splice2019,fuel-side|endpoint|splice2000,fuel-side|endpoint|splice2019|rescaled,fuel-side-and-gauge|klower|splice2019,fuel-side-and-gauge|klower|splice2000,fuel-side-and-gauge|klower|splice2019|rescaled,fuel-side-and-gauge|endpoint|splice2019,fuel-side-and-gauge|endpoint|splice2000,fuel-side-and-gauge|endpoint|splice2019|rescaled,R0,R0_traffic_ratio,R1,R1_traffic_ratio,R2,R2_traffic_ratio
2000,570.35603456,772.8257562808652,772.8257562808652,837.3086419454702,745.3114069193795,745.3114069193795,745.3114069193795,735.4303118343424,735.4303118343424,796.7930036531488,709.2473250920079,709.2473250920079,709.2473250920079,826.7381866714466,826.7381866714466,895.7194072537525,797.3044325377496,797.3044325377496,797.3044325377496,772.8257562808652,1.0,726.5607242443584,0.9401352353224459,712.3211956547791,0.945570793098921
2001,548.62635776,750.4139575713896,750.4139575713896,813.0268519190954,723.6975190643237,723.6975190643237,723.6975190643237,732.9699060416336,732.9699060416336,794.1273069987802,706.8745153246664,706.8745153246664,706.8745153246664,832.3066256933658,832.3066256933658,901.752464611516,802.6746225036533,802.6746225036533,802.6746225036533,750.4139575713896,1.0,703.9743553018384,0.938114687498822,697.6122065538063,0.9406381173882788
2002,549.7358463999999,754.1658740670721,754.1658740670721,817.0918200961537,727.31585882502,727.31585882502,727.31585882502,714.9966988686982,714.9966988686982,774.6544548492902,689.5411950826251,689.5411950826251,689.5411950826251,811.6238521833803,811.6238521833803,879.3439658541092,782.7282026302971,782.7282026302971,782.7282026302971,754.1658740670721,1.0,707.0122976055371,0.937475855003562,692.4197878109661,0.9432528974999433
2003,549.39143168,767.7408013802697,767.7408013802697,831.7994095634373,740.4074879437454,740.4074879437454,740.4074879437454,725.4203622950746,725.4203622950746,785.9478458843373,699.5937524546173,699.5937524546173,699.5937524546173,845.1299452695567,845.1299452695567,915.645733841108,815.041402825134,815.041402825134,815.041402825134,767.7408013802697,1.0,716.6691085552472,0.9334779488947259,700.7691921743791,0.9397729119173542
2004,583.9512140799999,875.9923552821773,875.9923552821773,949.0832356386544,844.8050410585747,844.8050410585747,844.8050410585747,807.2421610122699,807.2421610122699,874.5966759843167,778.5025096006775,778.5025096006775,778.5025096006775,958.4715441042765,958.4715441042765,1038.4443070316963,924.3477837311251,924.3477837311251,924.3477837311251,875.9923552821773,1.0,803.9682981642201,0.9177800391936565,778.765085541919,0.9271469573981667
2005,612.6506880000001,946.0717437047514,946.0717437047514,1025.0098944897468,912.3894443432607,912.3894443432607,912.3894443432607,853.7714223046162,853.7714223046162,925.0082367621403,823.3752236825757,823.3752236825757,823.3752236825757,1013.6786395501606,1013.6786395501606,1098.2577614072354,977.5893813930832,977.5893813930832,977.5893813930832,946.0717437047514,1.0,862.065314096914,0.9112050114942932,828.5509594701726,0.9230672139022229
2006,619.7940070399999,1006.7930673380364,1006.7930673380364,1090.7976721554276,970.9489511652399,970.9489511652399,970.9489511652399,898.1148897845678,898.1148897845678,973.0516258870982,866.139963168245,866.139963168245,866.139963168245,1055.7442189043156,1055.7442189043156,1143.8332004184533,1018.1573307355089,1018.1573307355089,1018.1573307355089,1006.7930673380364,1.0,905.6172292060708,0.8995068188148386,866.7249379688799,0.913089893606234
2007,637.79296256,1089.4839357224846,1089.4839357224846,1180.3880851891142,1050.695837127721,1050.695837127721,1050.695837127721,959.3566266976279,959.3566266976279,1039.4032389749264,925.2013553771649,925.2013553771649,925.2013553771649,1111.6195270328299,1111.6195270328299,1204.3706216769242,1072.0433511933754,1072.0433511933754,1072.0433511933754,1089.4839357224846,1.0,967.0388636054855,0.8876118608983432,921.2503307667481,0.903123883225967
2008,634.84308992,1112.5067304846289,1112.5067304846289,1205.3318514383777,1072.8989681904927,1072.8989681904927,1072.8989681904927,989.8222299976309,989.8222299976309,1072.410825378276,954.5823141167449,954.5823141167449,954.5823141167449,1138.1571164287188,1138.1571164287188,1233.1224493133504,1097.6361422308817,1097.6361422308817,1097.6361422308817,1112.5067304846289,1.0,980.6423777005577,0.8814709617742011,938.3416344898596,0.895851629028869
2009,602.02641408,1101.1479010629746,1101.1479010629746,1193.0252662089913,1061.9445388532106,1061.9445388532106,1061.9445388532106,971.1832275478097,971.1832275478097,1052.216625454631,936.6069024194136,936.6069024194136,936.6069024194136,1110.3149213191232,1110.3149213191232,1202.957162524534,1070.7851924013637,1070.7851924013637,1070.7851924013637,1101.1479010629746,1.0,959.1342002273907,0.8710312205122551,914.9593467071044,0.8868410391979351
