run,case,case_label,biomass_share_world_pct,efficiency_gain_pct_per_yr,carbon_budget_share_world_pct,objective_kind,constraint,constraint_name,component,year,g_value,g_bound,slack,active,ineq_tolerance,lambda_raw,objective_scale,f_opt_scaled,kkt_residual,kkt_residual_relative,objective_grad_norm,max_constraint_violation,run_feasible,termination_message,x_eval_distance_from_x_opt,n_database_entries,min_residual_kerosene_fraction,blend_degenerate,n_gradient_points,lambda_eur_discounted2020_per_unit_g,f_opt_eur_discounted2020,budget_adjusted_gtco2,shadow_price_eur_per_tco2_discounted2020,undiscount_factor_to_year,shadow_price_eur_per_tco2_undiscounted_year,allocated_resource_mj,allocated_resource_ej,shadow_price_eur_per_gj_discounted2020,shadow_price_eur_per_ej_discounted2020,shadow_price_eur_per_gj_undiscounted_year,shadow_price_eur_per_ej_undiscounted_year,ramp_branch_active,ramp_rate_cap_mj,ramp_volume_cap_mj,ramp_previous_consumption_mj,shadow_price_eur_per_gj_of_cap_discounted2020,d_obj_d_volume_bound_eur_per_ej_per_yr_discounted2020,d_obj_d_rate_bound_eur_per_unit_tau_discounted2020,shadow_price_eur_per_gj_of_cap_undiscounted_year,d_obj_d_volume_bound_eur_per_ej_per_yr_undiscounted_year,d_obj_d_rate_bound_eur_per_unit_tau_undiscounted_year,lambda_gtco2_per_unit_g
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G5,biofuel_use_growth_constraint,4,2050.0,-7.371280131751742,0.0,7.371280131751742,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,3.7453181345368614,,,,,,,,rate,1891887758422.63,154900000000.0,760307258882.5514,0.0,0.0,0.0,0.0,0.0,0.0,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G6,electrofuel_use_growth_constraint,0,2030.0,3.869368846836669e-13,0.0,3.869368846836669e-13,True,0.0001,47.79270327207021,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,477927032720.7021,269699642622.76898,,,1.552969421732896,,,,,,,,volume,0.0,154900000000.0,0.0,3085.390785801821,15426953929009.104,0.0,4791.5175444466595,23957587722233.297,0.0,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G6,electrofuel_use_growth_constraint,1,2035.0,8.798676817704971e-13,0.0,8.798676817704971e-13,True,0.0001,14.939916469840197,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,149399164698.40198,269699642622.76898,,,1.9352824430911528,,,,,,,,rate,385440768000.14905,154900000000.0,154900000000.05994,964.4878289115686,0.0,1548970539593.6309,1866.5563618676624,0.0,2997695490140.9834,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G6,electrofuel_use_growth_constraint,2,2040.0,-1.546321115285803,0.0,1.546321115285803,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,2.411714024837406,,,,,,,,rate,959099971830.4698,154900000000.0,385440768000.28534,0.0,0.0,0.0,0.0,0.0,0.0,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G6,electrofuel_use_growth_constraint,3,2045.0,-6.217299765919356,0.0,6.217299765919356,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,3.005434456537094,,,,,,,,rate,1790532443654.8179,154900000000.0,719574831072.699,0.0,0.0,0.0,0.0,0.0,0.0,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G6,electrofuel_use_growth_constraint,4,2050.0,-7.254011006004327,0.0,7.254011006004327,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,3.7453181345368614,,,,,,,,rate,2059016893532.9792,154900000000.0,827472709913.9097,0.0,0.0,0.0,0.0,0.0,0.0,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G1,aviation_carbon_budget_constraint,0,,4.362196768650384e-06,0.0,4.362196768650384e-06,True,0.0001,84.31905789097134,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,843190578909.7134,49817113589.0611,2.4906431623760783,338.5433094740509,,,,,,,,,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G2,blend_completeness_constraint,0,2030.0,-0.9164304355589789,0.0,0.9164304355589789,False,0.0001,0.0,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,0.0,49817113589.0611,,,1.552969421732896,,,,,,,,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G2,blend_completeness_constraint,1,2035.0,-0.7908436208573355,0.0,0.7908436208573355,False,0.0001,0.0,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,0.0,49817113589.0611,,,1.9352824430911528,,,,,,,,,,,,,,,,,,
opt_B15_2_6,B15,15 % biomass,15.0,1.35,2.6,min_surplus_loss,G2,blend_completeness_constraint,2,2040.0,-0.36030610056118173,0.0,0.36030610056118173,False,0.0001,0.0,1e-10,4.98171135890611,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,True,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.,0.0,19,4.2119296950876414e-16,True,18,0.0,49817113589.0611,,,2.411714024837406,,,,,,,,,,,,,,,,,,
