run,block,year,rpk,rpk_no_elasticity,ask,airfare_per_rpk,total_cost_per_rpk,co2_emissions,cumulative_co2_emissions,biofuel_mandate_share,electrofuel_mandate_share,biofuel_energy,electrofuel_energy,dropin_energy,biomass_allocated_share,electricity_allocated_share,area_loss,total_airline_cost,cumulative_total_airline_cost_discounted,cumulative_total_surplus_loss_discounted
vol_0_4,B',2046,2241798050328.934,2197537854097.4912,2521999457849.264,0.09033985769566312,0.0854950034346293,,3.4586262072289236,38.68496617324228,3.1833677794395054,735972739440.4332,60562852628.29118,1902477402059.8545,99.78415757913393,7.132994475387942,-4042935471.945835,191662532012.6175,4496645628528.867,-50252552868.709045
vol_0_4,B',2047,2267253257235.3945,2245883686887.636,2549254930155.326,0.09139701488478834,0.08665113485547679,,3.567367801181785,38.90278968964551,6.366734558879011,738224606091.5695,120816017291.14632,1897613543863.8162,99.69149858435247,13.876820117225874,-1963410338.481627,196460067744.22318,4556505316323.489,-50850787060.642944
vol_0_4,B',2048,2294614050389.6943,2295293127999.164,2579020263857.396,0.09239416539157622,0.08773966858274294,,3.6707800044893437,39.120613206048745,9.550101338318514,741269548279.0908,180958290908.90466,1894831107004.4202,99.70624805959936,20.28199632611682,62732495.35107045,201328676306.4972,4615206857780.338,-50832496103.56668
vol_0_4,B',2049,2323752277529.352,2345789576815.1455,2611162319314.555,0.09333756210948033,0.08876781378423848,,3.768863168354874,39.33843672245197,12.73346811775802,745004702944.7542,241150752874.5417,1893834033622.264,99.81335363430203,26.39014276349873,2046142538.7244544,206274409452.42557,4672760515476.346,-50261591609.9671
vol_0_4,B',2050,2354548477415.2275,2397396947505.079,2645560086983.4014,0.09423328447615426,0.08974250926116809,,3.86159058077922,39.55626023885521,15.916834897197527,749342215490.1565,301523861291.14545,1894370729096.6165,100.00000240203295,32.23576461915788,3997445501.453889,211303088540.30527,4729178443393.285,-49194273599.090515
efuel_wind,C,2019,1361496901347.7095,1361496901347.7095,1652315857408.9397,0.09236379319842411,0.08824028498633725,,,,,,,1927690920589.4683,,,-0.0,120138874582.93698,2414901591623.6533,-20473189079.527313
efuel_wind,C,2020,462908946458.2212,462908946458.2212,709983046715.0631,0.121768405058906,0.11711115249230034,,0.0928776882208452,0.0,0.0,0.0,0.0,1047099078025.3121,0.0,0.0,-0.0,54211800218.718834,2469113391842.372,-20473189079.527313
efuel_wind,C,2021,687555935180.5933,687555935180.5933,826157688416.4329,0.09175645441581162,0.08709920184920594,,0.17594778708092298,0.4,0.0,3757616230.993715,0.0,939404057748.4287,0.8010065972694458,0.0,-0.0,59885573180.91405,2526420160436.5483,-20473189079.527313
efuel_wind,C,2022,912202923902.9652,912202923902.9652,1090959425893.8142,0.09127505337409517,0.08661780080748947,,0.2839073018599997,0.8,0.0,9797020875.459648,0.0,1224627609432.456,2.058381744783099,0.0,-0.0,79013011158.63652,2598774741291.9653,-20473189079.527313
efuel_wind,C,2023,1136849912625.3374,1136849912625.3374,1353514774009.468,0.09081165341299384,0.08615440084638816,,0.41572408548074746,1.2000000000000002,0.0,17998429696.420647,0.0,1499869141368.387,3.727902742638801,0.0,-0.0,97944623074.50467,2684603281877.592,-20473189079.527313
